0.301748	0.921555
3.188743	3.828939	
6.817876	7.229721	
10.813999	11.405262	
14.990000	15.315755	
18.806246	19.079451	
22.630000	23.369167	
27.069321	27.491698	
30.872092	31.108598	
34.770000	35.068022	
38.698932	39.467835	
42.970560	43.604713	
47.042621	47.296975	
50.847476	51.044360	
54.775243	55.472718	
59.000679	59.379132	
63.004369	63.375255	
66.932621	67.216427	
71.167379	71.869057	
74.906926	75.265762	
78.914854	79.710429	
82.990000	83.470048	
87.232428	87.776074	
91.157087	91.417440	
94.807087	95.650069	
99.267476	99.495318	
102.912411	103.185616	
106.950777	107.259215	
111.055532	111.308348	
115.066699	115.447190	
118.890000	119.553411	
122.820000	123.117301	
126.948544	127.211288	
131.251165	131.851685	
134.698932	134.975185	
139.105631	139.326067	
142.967087	143.546462	
147.222233	147.946276	
151.082009	151.563175	
155.017087	155.265706	
158.940000	159.526878	
163.140679	163.788051	
167.037959	167.433494	
171.137476	171.396996	
174.960000	175.633703	
179.284369	180.123225	
183.124395	183.475075	
187.211165	187.813724	
191.010622	191.548876	
195.863787	196.433933	
199.475243	200.124230	
203.068932	203.867538	
207.368932	207.749486	
211.223667	211.764034	
215.210000	215.652024	
219.260777	219.558439	
223.480000	224.068350	
227.270000	228.048162	
231.120000	232.011664	
235.230000	235.787593	
239.440000	240.444300	
243.210000	243.853238	
247.060000	247.849362	
251.240000	251.617135	
255.130000	255.768210	
259.550000	260.278121	
263.240000	263.662593	
267.240000	268.009397	
271.140000	271.899500	
275.770000	276.409411	
279.400000	279.924369	
283.250000	283.692142	
287.260000	287.663800	
291.630000	292.483614	
295.360000	296.316630	
299.500000	300.492171	
303.350000	304.121304	
307.640000	308.239758	
311.550000	312.146172	
315.390000	315.954722	
319.320000	320.032399	
323.660000	324.305805	
327.920000	328.636298	
331.860000	332.705819	
335.770000	336.612234	
339.548161	340.306609	
343.800000	344.482151	
347.510000	347.931865	
351.530000	352.058474	
355.390000	355.956734	
359.670000	360.393246	
363.750000	364.438302	
367.800000	368.409959	
371.770000	372.455015	
375.732330	376.320652	
379.580000	380.039494	
383.760000	384.435230	
387.750000	388.447664	
392.050000	392.574273	
395.680000	396.097386	
399.620000	400.134286	
403.600000	404.024390	
407.930000	408.632165	
411.751554	412.147122	
415.700000	416.436838	
419.660000	420.074126	
423.860000	424.600348	
427.620000	428.563850	
431.670000	432.095118	
435.659008	436.123863	
439.770000	440.739793	
443.594167	444.434168	
447.670000	448.422137	
451.700000	452.189910	
455.890000	456.846617	
459.815166	460.606235	
463.850000	464.724689	
467.720000	468.313045	
472.020000	473.043150	
476.160000	477.080050	
480.320000	481.198504	
484.130000	484.998899	
487.930000	488.530167	
491.970000	492.648621	
496.060000	496.856784	
500.100000	500.869218	
504.020000	504.726700	
508.120000	508.902241	
512.240000	513.102249	
515.840000	516.764003	
520.250000	520.939544	
523.060000	523.834694	
528.160000	528.939946	
532.430000	533.131798	
536.270000	537.013746	
540.060000	540.920161	
544.520000	545.405606	
548.190000	549.018427	
552.560000	553.479406	
556.203294	557.059606	
