0.301748	0.921555 aap
3.188743	3.828939	 aa
6.817876	7.229721	 p
10.813999	11.405262	 bal
14.990000	15.315755	 b
18.806246	19.079451	 a
22.630000	23.369167	 l
27.069321	27.491698	 kam
30.872092	31.108598	 k
34.770000	35.068022	 a
38.698932	39.467835	 m
42.970560	43.604713	 bel
47.042621	47.296975	 b
50.847476	51.044360	 e
54.775243	55.472718	 l
59.000679	59.379132	 de
63.004369	63.375255	 d
66.932621	67.216427	 e
71.167379	71.869057	 deeg
74.906926	75.265762	 d
78.914854	79.710429	 ee
82.990000	83.470048	 g
87.232428	87.776074	 en
91.157087	91.417440	 e
94.807087	95.650069	 n
99.267476	99.495318	 kip
102.912411	103.185616	 k
106.950777	107.259215	 i
111.055532	111.308348	 p
115.066699	115.447190	 sap
118.890000	119.553411	 s
122.820000	123.117301	 a
126.948544	127.211288	 p
131.251165	131.851685	 tas
134.698932	134.975185	 t
139.105631	139.326067	 a
142.967087	143.546462	 s
147.222233	147.946276	 vis
151.082009	151.563175	 v
155.017087	155.265706	 i
158.940000	159.526878	 s
163.140679	163.788051	 bus
167.037959	167.433494	 b
171.137476	171.396996	 u
174.960000	175.633703	 s
179.284369	180.123225	 doos
183.124395	183.475075	 d
187.211165	187.813724	 oo
191.010622	191.548876	 s
195.863787	196.433933	 een
199.475243	200.124230	 ee
203.068932	203.867538	 n
207.368932	207.749486	 pop
211.223667	211.764034	 p
215.210000	215.652024	 o
219.260777	219.558439	 p
223.480000	224.068350	 reep
227.270000	228.048162	 r
231.120000	232.011664	 ee
235.230000	235.787593	 p
239.440000	240.444300	 fles
243.210000	243.853238	 f
247.060000	247.849362	 l
251.240000	251.617135	 e
255.130000	255.768210	 s
259.550000	260.278121	 haar
263.240000	263.662593	 h
267.240000	268.009397	 aa
271.140000	271.899500	 r
275.770000	276.409411	 het
279.400000	279.924369	 h
283.250000	283.692142	 e
287.260000	287.663800	 t
291.630000	292.483614	 muur
295.360000	296.316630	 m
299.500000	300.492171	 uu
303.350000	304.121304	 r
307.640000	308.239758	 wiel
311.550000	312.146172	 w
315.390000	315.954722	 ie
319.320000	320.032399	 l
323.660000	324.305805	 ei
327.920000	328.636298	 ei
331.860000	332.705819	 ijs
335.770000	336.612234	 ij
339.548161	340.306609	 s
343.800000	344.482151	 jas
347.510000	347.931865	 j
351.530000	352.058474	 a
355.390000	355.956734	 s
359.670000	360.393246	 ui
363.750000	364.438302	 ui
367.800000	368.409959	 zeep
371.770000	372.455015	 z
375.732330	376.320652	 ee
379.580000	380.039494	 p
383.760000	384.435230	 au
387.750000	388.447664	 au
392.050000	392.574273	 boek
395.680000	396.097386	 b
399.620000	400.134286	 oe
403.600000	404.024390	 k
407.930000	408.632165	 hout
411.751554	412.147122	 h
415.700000	416.436838	 ou
419.660000	420.074126	 t
423.860000	424.600348	 lach
427.620000	428.563850	 l
431.670000	432.095118	 a
435.659008	436.123863	 ch
439.770000	440.739793	 neus
443.594167	444.434168	 n
447.670000	448.422137	 eu
451.700000	452.189910	 s
455.890000	456.846617	 schaar
459.815166	460.606235	 sch
463.850000	464.724689	 aa
467.720000	468.313045	 r
472.020000	473.043150	 aai 
476.160000	477.080050	 aai
480.320000	481.198504	 ooi 
484.130000	484.998899	 ooi
487.930000	488.530167	 oei
491.970000	492.648621	 oei
496.060000	496.856784	 eeuw 
500.100000	500.869218	 eeuw
504.020000	504.726700	 ieuw
508.120000	508.902241	 ieuw
512.240000	513.102249	 ng 
515.840000	516.764003	 ng
520.250000	520.939544	 nk
523.060000	523.834694	 nk
528.160000	528.939946	 oor 
532.430000	533.131798	 oor
536.270000	537.013746	 eur 
540.060000	540.920161	 eur
544.520000	545.405606	 eer
548.190000	549.018427	 eer
552.560000	553.479406	geeske
556.203294	557.059606	
